Total,County,Population,White,Black,AIAN,Asian,NHOPI,Other,White_pct,Black_pct,AIAN_pct,Asian_pct,NHOPI_pct,Other_pct
142,BRAZOS,233849,167705,27910,5602,16856,493,45626,0.717150810993419,0.119350521062737,0.0239556294874043,0.0720807016493549,0.0021081980252214,0.195108809530937
2,BREWSTER,9546,8247,287,422,164,19,2420,0.86392206159648,0.0300649486695998,0.0442069976953698,0.0171799706683428,0.00199036245547873,0.253509323276765
2,BRISCOE,1435,1260,30,41,13,4,206,0.878048780487805,0.0209059233449477,0.0285714285714286,0.00905923344947735,0.00278745644599303,0.143554006968641
7,BROOKS,7076,6211,47,78,48,10,4037,0.87775579423403,0.00664217071791973,0.0110231769361221,0.00678349349915206,0.00141322781232335,0.570520067834935
16,BROWN,38095,33202,1881,1116,382,82,5576,0.87155794723717,0.0493765586034913,0.0292951830948943,0.0100275626722667,0.00215251345320908,0.146370914818218
18,BURLESON,17642,14139,2145,534,118,38,2858,0.801439746060537,0.121584854324906,0.0302686770207459,0.00668858406076409,0.00215395079922911,0.161999773268337
34,BURNET,49130,43261,1011,1651,629,56,8272,0.880541420720537,0.0205780582129045,0.0336047221656829,0.01280276816609,0.0011398330958681,0.16836963158966
29,CALDWELL,45883,32765,2932,1305,444,106,17985,0.714098903733409,0.0639016629252664,0.0284419065884968,0.00967678660941961,0.00231022383017675,0.391975241374801
17,CALHOUN,20106,15939,534,354,1169,27,6791,0.792748433303492,0.0265592360489406,0.0176066845717696,0.0581418482045161,0.00134288272157565,0.337759872674823
4,CALLAHAN,13708,13068,269,412,109,27,800,0.953311934636708,0.0196235774730085,0.0300554420776189,0.00795156113218558,0.00196965275751386,0.0583600817041144
406,CAMERON,421017,331394,3410,6151,3637,378,247937,0.787127360652895,0.00809943541472197,0.0146098613595175,0.00863860604203631,0.000897825978523433,0.588900210680329
11,CAMP,12464,8673,2092,330,154,32,2534,0.695844030808729,0.167843388960205,0.0264762516046213,0.0123555840821566,0.00256739409499358,0.203305519897304
3,CARSON,5807,5545,91,273,33,15,382,0.954882038918547,0.0156707422076804,0.0470122266230412,0.00568279662476322,0.00258308937489237,0.0657826760805924
20,CASS,28454,22923,4941,906,199,56,1069,0.80561608209742,0.17364869614114,0.0318408659590919,0.0069937442890279,0.00196808884515358,0.0375694102762353
2,CASTRO,7371,5629,155,141,49,14,3416,0.763668430335097,0.0210283543616877,0.0191290191290191,0.00664767331433998,0.00189933523266857,0.46343779677113
14,CHAMBERS,46571,37827,3763,1251,879,50,8419,0.812243670954027,0.0808013570677031,0.0268622103884392,0.0188744068196947,0.00107362951192802,0.180777737218441
41,CHEROKEE,50412,36801,7069,1469,418,49,9625,0.730004760771245,0.140224549710386,0.0291398873284139,0.00829167658494009,0.00097199079584226,0.190926763469015
3,CHILDRESS,6664,5010,672,162,93,36,1374,0.751800720288115,0.100840336134454,0.0243097238895558,0.0139555822328932,0.00540216086434574,0.206182472989196
0,CLAY,10218,9831,121,416,87,7,477,0.962125660598943,0.011841847719710301,0.0407124681933842,0.0085143863769818,0.000685065570561754,0.0466823253082795
